Timeline,Oxygen Consumption,Ammonia Nitrogen,PH,Dissolved Oxygen
00:00.0,4.6501,0.0985,8.1936,13.0165
30:00.0,4.6493,0.0763,8.1879,13.1228
00:00.0,4.974,0.0851,8.1917,13.1519
30:00.0,4.9744,0.0696,8.1865,13.3461
00:00.0,4.974,0.0749,8.1815,13.3732
30:00.0,4.9744,0.0855,8.1815,13.4247
00:00.0,4.9744,0.1063,8.1813,13.2035
30:00.0,4.9736,0.1072,8.1769,13.1531
00:00.0,4.974,0.1137,8.1851,13.1515
30:00.0,4.974,0.103,8.1848,13.1503
00:00.0,4.974,0.0917,8.181,13.3872
30:00.0,4.9736,0.0969,8.1708,13.231
00:00.0,4.9736,0.0858,8.1711,13.414
30:00.0,4.9736,0.0779,8.1755,13.2015
00:00.0,4.974,0.0819,8.1758,13.4383
30:00.0,4.9732,0.0901,8.1705,13.1499
00:00.0,4.9744,0.082,8.1703,13.4116
30:00.0,4.9744,0.086,8.1705,13.3596
00:00.0,4.7682,0.0771,8.1711,13.2781
30:00.0,4.7698,0.0838,8.1708,13.2785
00:00.0,4.7694,0.1051,8.1711,13.1979
30:00.0,4.7694,0.0996,8.1758,13.1735
00:00.0,4.7698,0.1104,8.1804,13.38
30:00.0,4.7706,0.0875,8.1854,13.515
00:00.0,4.7698,0.1051,8.181,13.3277
30:00.0,4.7702,0.1095,8.181,13.3832
00:00.0,4.8656,0.1095,8.1716,13.4371
30:00.0,4.8648,0.1103,8.1722,13.3285
00:00.0,4.866,0.09,8.1714,13.0397
30:00.0,4.8648,0.0893,8.1766,13.249
00:00.0,4.8652,0.0992,8.1714,13.2494
30:00.0,4.8652,0.0875,8.1672,13.2518
00:00.0,4.8648,0.1102,8.162,13.1188
30:00.0,4.8652,0.0988,8.1675,13.0125
00:00.0,4.8566,0.1031,8.1678,12.9854
30:00.0,4.857,0.1101,8.167,13.2242
00:00.0,4.8562,0.1013,8.1623,12.985
30:00.0,4.8558,0.1099,8.1618,13.0121
00:00.0,4.8083,0.1091,8.167,13.221
30:00.0,4.8079,0.1094,8.1664,13.0369
00:00.0,4.8083,0.1089,8.1618,13.2246
30:00.0,4.8079,0.0897,8.1472,13.1439
00:00.0,4.7753,0.098,8.1469,13.1443
30:00.0,4.7753,0.099,8.1469,13.0908
00:00.0,4.7761,0.1053,8.1524,13.0668
30:00.0,4.7749,0.1077,8.1521,13.1683
00:00.0,4.7749,0.0903,8.1565,13.0369
30:00.0,4.7761,0.0918,8.1524,13.2234
00:00.0,4.7757,0.1089,8.148,13.2258
30:00.0,4.7757,0.0921,8.1571,13.1967
00:00.0,4.7682,0.0997,8.1612,13.2534
30:00.0,4.7679,0.0999,8.1618,13.2538
00:00.0,4.7667,0.1015,8.1659,13.2762
30:00.0,4.7667,0.0971,8.1659,13.0932
00:00.0,4.7675,0.1047,8.1711,13.3277
30:00.0,4.7679,0.0897,8.1807,13.3564
00:00.0,4.7671,0.1004,8.1901,13.118
30:00.0,4.7679,0.0874,8.1945,13.3816
00:00.0,4.9414,0.1093,8.1988,13.1715
30:00.0,4.9426,0.1097,8.1903,13.3309
00:00.0,4.9429,0.1007,8.1859,13.4379
30:00.0,4.9418,0.0988,8.1859,13.2781
00:00.0,4.9437,0.1051,8.1813,13.4643
30:00.0,4.9422,0.1053,8.1813,13.3596
00:00.0,4.9429,0.1035,8.1807,13.3636
30:00.0,4.9433,0.1074,8.1813,13.4411
00:00.0,5.0305,0.0982,8.1854,13.4675
30:00.0,5.0305,0.1078,8.1815,13.1999
00:00.0,5.0317,0.0875,8.1766,13.4387
30:00.0,5.0309,0.0893,8.1771,13.4655
00:00.0,5.0305,0.1074,8.1719,13.3564
30:00.0,5.0305,0.1047,8.1714,13.356
00:00.0,5.0297,0.1102,8.1672,13.1739
30:00.0,5.0301,0.0894,8.1661,13.3061
00:00.0,4.7525,0.0881,8.1664,13.4116
30:00.0,4.7518,0.0951,8.1664,13.1987
00:00.0,4.7525,0.1087,8.1656,13.41
30:00.0,4.7518,0.1049,8.1659,13.1447
00:00.0,4.7521,0.0909,8.1659,13.2762
30:00.0,4.7521,0.0964,8.1607,13.382
00:00.0,4.7518,0.0917,8.1557,13.3281
30:00.0,4.7521,0.0973,8.156,13.0381
00:00.0,4.4974,0.106,8.1505,13.0369
30:00.0,4.4985,0.0887,8.151,13.3029
00:00.0,4.4978,0.0873,8.1464,13.2766
30:00.0,4.4974,0.106,8.1461,13.3265
00:00.0,4.5374,0.0887,8.1466,13.0648
30:00.0,4.5374,0.1033,8.142,13.0377
00:00.0,4.5374,0.1087,8.1417,13.2478
30:00.0,4.5358,0.1,8.1362,13.2198
00:00.0,4.8605,0.1048,8.1222,13.0065
30:00.0,4.8589,0.1006,7.8361,13.2762
00:00.0,4.8593,0.0888,7.9328,12.8727
30:00.0,4.8589,0.1076,7.968,13.0704
00:00.0,4.8593,0.0894,7.9872,13.1631
30:00.0,4.8593,0.1101,7.9875,13.2997
00:00.0,4.8589,0.1021,7.9537,13.225
30:00.0,4.8589,0.0977,7.9293,13.4096
00:00.0,5.0254,0.0935,7.9202,13.5973
30:00.0,5.0258,0.11,7.9735,13.7627
00:00.0,5.0262,0.0872,7.9397,13.9265
30:00.0,5.0262,0.0938,7.9348,13.9532
00:00.0,5.0273,0.0911,7.9304,13.9257
30:00.0,5.0289,0.0923,7.9688,13.9536
00:00.0,5.0285,0.092,8.0551,13.98
30:00.0,5.0293,0.0875,8.1068,13.9824
00:00.0,5.0289,0.1101,8.1356,14.0559
30:00.0,5.0289,0.0902,8.1541,13.9948
00:00.0,5.0289,0.0875,8.1486,14.2029
30:00.0,5.0289,0.1002,8.1491,14.3647
00:00.0,5.0297,0.0883,8.1442,14.091
30:00.0,5.0297,0.1099,8.145,14.0918
00:00.0,5.0297,0.1086,8.1442,14.1965
30:00.0,5.0301,0.1013,8.1442,14.0639
00:00.0,4.824,0.0986,8.1497,14.0918
30:00.0,4.8244,0.1012,8.1491,14.2776
00:00.0,4.8248,0.0968,8.1447,14.087
30:00.0,4.8248,0.1006,8.1351,14.1981
00:00.0,4.8248,0.0911,8.1345,14.0351
30:00.0,4.824,0.0874,8.1348,14.1729
00:00.0,4.8244,0.1092,8.1299,13.9584
30:00.0,4.8244,0.1068,8.1255,14.1458
00:00.0,4.8401,0.0908,8.1117,13.9297
30:00.0,4.8397,0.0969,8.1159,13.8494
00:00.0,4.8401,0.0887,8.1115,13.8753
30:00.0,4.8401,0.1051,8.1071,13.7966
00:00.0,4.8405,0.1033,8.1071,13.9053
30:00.0,4.8405,0.1018,8.1068,13.8781
00:00.0,4.8409,0.1095,8.1062,13.7687
30:00.0,4.8397,0.1085,8.1068,13.9041
00:00.0,4.603,0.1051,8.1065,13.6592
30:00.0,4.6026,0.1084,8.1205,13.6868
00:00.0,4.6026,0.0907,8.106,13.6568
30:00.0,4.6026,0.0872,8.1013,13.7391
00:00.0,4.3808,0.0976,8.0925,13.9237
30:00.0,4.3812,0.1099,8.0983,13.7667
00:00.0,4.3808,0.1061,8.0887,13.7391
30:00.0,4.3808,0.1096,8.0873,13.6065
00:00.0,4.5476,0.0874,8.0837,13.5841
30:00.0,4.5464,0.0889,8.0878,13.7431
00:00.0,4.5464,0.0883,8.0788,13.5789
30:00.0,4.5468,0.0874,8.0738,15.9042
00:00.0,4.5464,0.1063,8.0689,11.8445
30:00.0,4.5472,0.1101,8.0595,11.7407
30:00.0,4.729,0.0899,8.0452,11.8457
00:00.0,4.7282,0.088,8.0502,11.7159
30:00.0,4.729,0.0874,8.0406,11.7423
00:00.0,4.7282,0.0888,8.0359,11.7183
30:00.0,4.7282,0.097,8.0362,11.636
00:00.0,4.7286,0.1052,8.0502,11.4251
30:00.0,4.7286,0.0906,8.0595,11.3995
00:00.0,4.6104,0.0875,8.0788,11.3452
30:00.0,4.6108,0.11,8.1068,11.3724
00:00.0,4.6112,0.1095,8.115,11.3947
30:00.0,4.6108,0.1102,8.12,11.4706
00:00.0,4.6104,0.1103,8.1252,11.2326
30:00.0,4.6108,0.0882,8.129,11.4694
00:00.0,4.6108,0.1087,8.1203,11.4143
30:00.0,4.6112,0.0876,8.1109,11.4139
00:00.0,4.6187,0.1066,8.1101,11.4143
30:00.0,4.6195,0.0874,8.12,11.3867
00:00.0,4.6191,0.0902,8.1244,11.3344
30:00.0,4.6191,0.1067,8.1244,11.2809
00:00.0,4.6191,0.1001,8.1211,11.0911
30:00.0,4.6195,0.1056,8.1112,11.2817
00:00.0,4.6202,0.1046,8.0972,11.0943
30:00.0,4.6187,0.104,8.0873,11.177
00:00.0,4.5405,0.0883,8.0826,11.0935
30:00.0,4.5398,0.0883,8.0826,11.0644
00:00.0,4.5402,0.0966,8.0724,10.9314
30:00.0,4.5402,0.0924,8.0683,11.0125
00:00.0,4.5398,0.0994,8.0581,10.8786
30:00.0,4.5409,0.0978,8.0581,10.9298
00:00.0,4.5402,0.099,8.0535,10.9314
30:00.0,4.5402,0.0875,8.0532,10.8782
00:00.0,4.5402,0.092,8.0488,10.8279
30:00.0,4.5398,0.1088,8.0488,10.772
00:00.0,4.5394,0.1093,8.0395,10.772
30:00.0,4.5398,0.1045,8.0243,10.611
00:00.0,4.7537,0.102,8.0252,10.7173
30:00.0,4.7533,0.1047,8.04,10.5039
00:00.0,4.7533,0.0881,8.0386,10.5834
30:00.0,4.7533,0.0878,8.0342,10.5028
00:00.0,4.7376,0.1094,8.0298,10.5319
30:00.0,4.7376,0.0976,8.0433,10.6933
00:00.0,4.7364,0.0901,8.0389,10.6126
30:00.0,4.7372,0.0911,8.0351,10.6106
00:00.0,4.7376,0.0875,8.0406,10.6905
30:00.0,4.7368,0.1098,8.0304,10.6158
00:00.0,4.7376,0.087,8.0213,10.776
30:00.0,4.7361,0.0927,8.012,10.6697
00:00.0,4.8318,0.1083,8.0026,10.8339
30:00.0,4.8318,0.0943,7.993,10.7304
00:00.0,4.8318,0.1087,7.9933,10.8363
30:00.0,4.8318,0.0947,8.0024,10.7296
00:00.0,4.8315,0.0956,8.0117,10.7021
30:00.0,4.8315,0.0913,8.0304,10.7017
00:00.0,4.8318,0.1039,8.0444,10.8091
30:00.0,4.8311,0.0884,8.0538,10.887
00:00.0,4.8633,0.1101,8.0573,10.6985
30:00.0,4.8633,0.0979,8.0719,10.7252
00:00.0,4.8633,0.0953,8.0716,10.8019
30:00.0,4.8633,0.0888,8.0763,10.8267
00:00.0,4.8629,0.1073,8.0952,10.7209
30:00.0,4.8625,0.1037,8.1046,11.0372
00:00.0,4.8629,0.0919,8.0999,10.9326
30:00.0,4.8629,0.0951,8.1148,11.038
00:00.0,4.8786,0.088,8.1241,11.038
30:00.0,4.879,0.1103,8.1381,10.8287
00:00.0,4.8801,0.093,8.1334,10.9074
30:00.0,4.8813,0.0893,8.134,11.064
00:00.0,4.8805,0.1088,8.134,10.903
30:00.0,4.8809,0.1028,8.1337,10.9302
00:00.0,4.8801,0.098,8.129,11.0101
30:00.0,4.8809,0.1083,8.1293,10.9841
00:00.0,4.7549,0.0875,8.1299,11.0368
30:00.0,4.7529,0.0875,8.1477,10.8239
00:00.0,4.7549,0.0915,8.1431,10.9545
30:00.0,4.7537,0.0909,8.1486,10.9022
00:00.0,4.7545,0.0882,8.1579,10.8487
30:00.0,4.7549,0.1103,8.1631,10.9298
00:00.0,4.7533,0.1074,8.1576,10.7979
30:00.0,4.7541,0.1101,8.1579,11.0093
00:00.0,4.9755,0.1,8.1623,10.8251
30:00.0,4.9751,0.0899,8.1576,10.7944
00:00.0,4.9747,0.1085,8.1477,10.903
30:00.0,4.9747,0.104,8.1189,10.8227
00:00.0,4.6261,0.0873,8.1145,10.8758
30:00.0,4.6253,0.1101,8.129,10.637
00:00.0,4.6261,0.1043,8.1343,10.768
30:00.0,4.6261,0.1048,8.1252,10.744
00:00.0,4.8876,0.0993,8.1054,10.6669
30:00.0,4.8876,0.0963,8.0733,10.6961
00:00.0,4.8868,0.1101,8.0925,10.6685
30:00.0,4.8864,0.102,8.1013,10.6957
00:00.0,4.8856,0.1096,8.1007,11.31
30:00.0,4.886,0.1026,8.1065,11.0692
00:00.0,4.886,0.098,8.0939,11.0923
30:00.0,4.8864,0.1044,8.0892,10.9893
00:00.0,4.9174,0.0871,8.0796,11.1279
30:00.0,4.9174,0.1004,8.0843,11.0316
00:00.0,4.9174,0.1079,8.0653,11.0604
30:00.0,4.9186,0.1085,8.0265,11.0864
00:00.0,4.9178,0.1089,8.0502,11.1606
30:00.0,4.9186,0.0945,8.0876,11.1583
00:00.0,4.9186,0.0927,8.1161,11.1858
30:00.0,4.919,0.1001,8.1343,11.1047
00:00.0,4.8868,0.0911,8.1387,11.0736
30:00.0,4.8868,0.1087,8.1483,11.0464
00:00.0,4.8868,0.0875,8.1433,11.0712
30:00.0,4.8868,0.0959,8.1389,11.2593
00:00.0,4.8872,0.0237,8.1395,11.1239
30:00.0,4.8868,0.0238,8.1351,11.2322
00:00.0,4.8872,0.02,8.1348,11.0444
30:00.0,4.8872,0.02,8.1307,11.1806
00:00.0,4.8322,0.0225,8.1354,11.2629
30:00.0,4.8326,0.02,8.1541,11.2086
00:00.0,4.8326,0.02,8.153,11.0736
30:00.0,4.8322,0.0214,8.1532,11.1527
00:00.0,4.8334,0.02,8.1488,11.0436
30:00.0,4.8326,0.0225,8.1538,11.0129
00:00.0,4.833,0.02,8.1439,10.9861
30:00.0,4.8322,0.0255,8.14,11.1215
00:00.0,4.7372,0.02,8.1395,11.066
30:00.0,4.7368,0.02,8.1494,10.9909
00:00.0,4.7368,0.0205,8.1494,10.9913
30:00.0,4.7368,0.02,8.1499,10.9402
00:00.0,4.7368,0.02,8.1455,10.8599
30:00.0,4.7364,0.02,8.1453,11.0979
00:00.0,4.7372,0.02,8.1354,10.9421
30:00.0,4.7368,0.0242,8.1351,10.8898
00:00.0,4.6568,0.02,8.1436,10.9402
30:00.0,4.6571,0.02,8.1477,10.9953
00:00.0,4.6568,0.0232,8.148,10.9402
30:00.0,4.6571,0.02,8.1475,10.9621
00:00.0,4.6968,0.02,8.1527,10.8295
30:00.0,4.6968,0.02,8.1582,10.8567
00:00.0,4.6968,0.02,8.1524,10.9565
30:00.0,4.6972,0.02,8.148,10.9861
00:00.0,4.6972,0.02,8.1384,10.7764
30:00.0,4.6976,0.0222,7.9719,10.9853
00:00.0,4.6972,0.02,8.0494,10.9086
30:00.0,4.698,0.02,8.0922,10.9613
00:00.0,4.6976,0.02,8.1117,11.3899
30:00.0,4.6976,0.0248,8.1115,11.5521
00:00.0,4.698,0.0277,8.1137,11.3376
30:00.0,4.6976,0.02,8.1038,11.3931
00:00.0,4.7129,0.0215,8.0941,11.3152
30:00.0,4.7133,0.02,8.1027,11.3208
00:00.0,4.7129,0.0213,8.1029,11.3476
30:00.0,4.7125,0.02,8.1065,11.2949
00:00.0,4.7125,0.02,8.1117,11.2389
30:00.0,4.7125,0.02,8.1115,11.1291
00:00.0,4.7137,0.02,8.1159,11.2621
30:00.0,4.7129,0.02,8.12,11.1279
00:00.0,4.3572,0.02,8.1293,11.2593
30:00.0,4.3564,0.0262,8.14,11.1802
00:00.0,4.3568,0.025,8.1348,11.1519
30:00.0,4.3564,0.02,8.1348,11.2873
00:00.0,4.3568,0.02,8.1406,11.2094
30:00.0,4.3568,0.02,8.1395,11.1826
00:00.0,4.3568,0.02,8.14,11.3416
30:00.0,4.3564,0.0282,8.131,11.181
00:00.0,4.3647,0.02,8.1208,11.2877
30:00.0,4.3639,0.026,8.1301,11.2901
00:00.0,4.3647,0.02,8.1205,11.2625
30:00.0,4.3651,0.02,8.1167,11.0728
00:00.0,4.3655,0.02,8.1257,11.1806
30:00.0,4.3658,0.02,8.1343,10.9657
00:00.0,4.3655,0.027,8.1348,11.1263
30:00.0,4.3651,0.0208,8.1345,11.1515
00:00.0,4.2076,0.0269,8.1337,11.1195
30:00.0,4.2076,0.02,8.1439,10.9865
00:00.0,4.2076,0.0305,8.1389,11.0656
30:00.0,4.2069,0.02,8.1389,11.0384
00:00.0,4.2069,0.0302,8.1343,11.0903
30:00.0,4.2072,0.02,8.1345,11.0644
00:00.0,4.2069,0.0307,8.1301,10.9054
30:00.0,4.2076,0.02,8.1301,10.9849
00:00.0,4.1601,0.02,8.1296,10.9066
30:00.0,4.1605,0.02,8.134,10.7999
00:00.0,4.159,0.02,8.1288,10.9078
30:00.0,4.159,0.02,8.1156,10.9334
00:00.0,4.0797,0.0293,8.1247,10.8275
30:00.0,4.0804,0.0224,8.1167,10.7197
00:00.0,4.0808,0.02,8.0936,10.774
30:00.0,4.0808,0.0251,8.0603,10.7995
00:00.0,4.3898,0.02,8.0315,10.9102
30:00.0,4.3894,0.032,8.0175,10.8043
00:00.0,4.3902,0.02,8.0419,10.8371
30:00.0,4.389,0.0205,8.0658,10.8119
00:00.0,4.3894,0.032,8.0705,10.8151
30:00.0,4.3902,0.02,8.0812,10.8387
00:00.0,4.3894,0.02,8.0713,10.9102
30:00.0,4.389,0.0328,8.0529,10.8367
00:00.0,4.5708,0.0263,8.0021,10.8974
30:00.0,4.5708,0.0235,7.9144,11.1151
00:00.0,4.5704,0.02,7.8754,10.7165
30:00.0,4.5704,0.02,7.8938,10.8539
00:00.0,4.5712,0.0313,7.946,10.9322
30:00.0,4.5712,0.0214,8.0046,10.8235
00:00.0,4.5716,0.02,8.032,10.9557
30:00.0,4.5712,0.02,8.0609,11.0556
00:00.0,4.579,0.0274,8.0744,11.1335
30:00.0,4.5786,0.02,8.0793,10.9162
00:00.0,4.5794,0.031,8.0936,11.1295
30:00.0,4.579,0.02,8.1032,11.0468
00:00.0,4.5798,0.02,8.1126,11.074
30:00.0,4.579,0.02,8.112,10.8886
00:00.0,4.5802,0.0216,8.1161,10.8886
30:00.0,4.5786,0.02,8.1219,10.9146
00:00.0,4.4451,0.0331,8.1205,11.0452
30:00.0,4.4448,0.0373,8.1029,10.6981
00:00.0,4.4455,0.0341,8.098,10.8059
30:00.0,4.4451,0.02,8.1079,10.8591
00:00.0,4.4448,0.0227,8.1068,10.7001
30:00.0,4.4451,0.0227,8.1068,10.8335
00:00.0,4.4455,0.02,8.1027,10.7808
30:00.0,4.4451,0.0244,8.1029,10.7244
00:00.0,4.3505,0.0273,8.0889,10.6709
30:00.0,4.3498,0.0369,8.079,10.5667
00:00.0,4.3498,0.02,8.0642,10.5914
30:00.0,4.3501,0.0355,8.0318,10.484
00:00.0,4.3501,0.02,8.0408,10.4041
30:00.0,4.3501,0.02,8.0265,10.4832
00:00.0,4.3501,0.0225,8.0268,10.8846
30:00.0,4.3521,0.0265,8.0263,10.6186
00:00.0,4.2155,0.02,8.0353,10.5683
30:00.0,4.2159,0.0218,8.0447,10.4316
00:00.0,4.2151,0.02,8.0546,10.6454
30:00.0,4.2155,0.0344,8.0551,10.6961
00:00.0,4.334,0.0219,8.0444,10.75
30:00.0,4.334,0.02,8.0496,10.5623
00:00.0,4.3344,0.0257,8.0406,10.5639
30:00.0,4.3344,0.0281,8.032,10.4293
00:00.0,4.8884,0.0308,8.0505,10.3522
30:00.0,4.8884,0.02,8.0318,10.3266
00:00.0,4.8888,0.0395,8.0466,10.1117
30:00.0,4.8888,0.039,8.051,10.2978
00:00.0,4.8888,0.0233,8.0554,10.2974
30:00.0,4.8888,0.021,8.0521,10.3797
00:00.0,4.8888,0.0409,8.0485,10.3294
30:00.0,4.8892,0.0214,8.062,10.462
00:00.0,5.5291,0.0352,8.0771,10.625
30:00.0,5.5291,0.0353,8.0254,10.4209
00:00.0,5.5287,0.0215,8.0202,10.3929
30:00.0,5.5283,0.0305,8.0098,10.3102
00:00.0,5.5287,0.0394,8.0189,10.3346
30:00.0,5.5279,0.0368,8.0516,10.144
00:00.0,5.5287,0.0359,8.0746,10.1181
30:00.0,5.5279,0.0412,8.0884,9.9595
00:00.0,5.0211,0.0294,8.0974,10.0634
30:00.0,5.0215,0.0388,8.1029,10.1157
00:00.0,5.0219,0.0245,8.1214,10.0374
30:00.0,5.0215,0.0421,8.1249,10.2215
00:00.0,5.0211,0.0304,8.1301,10.1684
30:00.0,5.0215,0.0424,8.1398,10.3034
00:00.0,5.0215,0.0231,8.1257,10.1145
30:00.0,5.0215,0.0358,8.1296,10.2211
00:00.0,5.0458,0.022,8.1436,10.307
30:00.0,5.0458,0.0438,8.1439,10.3817
00:00.0,5.0466,0.0357,8.1387,10.3797
30:00.0,5.047,0.0335,8.1389,10.5103
00:00.0,5.047,0.031,8.1442,10.482
30:00.0,5.047,0.0279,8.1491,10.2131
00:00.0,5.0462,0.0459,8.1491,10.186
30:00.0,5.047,0.0361,8.1491,10.0809
00:00.0,5.1981,0.0313,8.1444,10.1333
30:00.0,5.1973,0.0465,8.1395,9.9219
00:00.0,5.1977,0.0448,8.1532,10.0278
30:00.0,5.1973,0.0296,8.1535,10.1061
00:00.0,5.1973,0.0478,8.1532,9.8672
30:00.0,5.1981,0.0412,8.1543,9.7873
00:00.0,5.1977,0.0249,8.1585,10.0222
30:00.0,5.1977,0.0312,8.162,9.8361
00:00.0,5.0478,0.0283,8.1672,9.7334
30:00.0,5.047,0.0261,8.1675,9.8117
00:00.0,5.0462,0.0492,8.1672,9.8656
30:00.0,5.0454,0.0437,8.1483,9.8916
00:00.0,4.9504,0.0475,8.1439,9.8636
30:00.0,4.9504,0.0331,8.1447,9.9148
00:00.0,4.9508,0.0247,8.1296,9.6703
30:00.0,4.9508,0.0258,8.1257,9.7761
00:00.0,5.2123,0.0346,7.7745,9.6451
30:00.0,5.2123,0.0472,8.0876,9.6475
00:00.0,5.213,0.0474,8.1403,9.7286
30:00.0,5.213,0.0459,8.1653,10.3166
00:00.0,5.2134,0.0469,8.1829,10.1129
30:00.0,5.213,0.0479,8.1851,9.9835
00:00.0,5.2126,0.0325,8.1895,9.7638
30:00.0,5.2126,0.0271,8.1859,9.8089
00:00.0,5.2115,0.0333,8.1826,9.7382
30:00.0,5.2115,0.0488,8.1719,9.6651
00:00.0,5.2111,0.0276,8.1716,9.6659
30:00.0,5.2111,0.0484,8.1659,9.771
00:00.0,5.2107,0.0435,8.1749,9.8197
30:00.0,5.2111,0.0462,8.1837,9.8177
00:00.0,5.2115,0.0378,8.1975,9.8169
30:00.0,5.2111,0.0463,8.2013,9.8405
00:00.0,5.1318,0.0387,8.2107,9.8385
30:00.0,5.1322,0.037,8.2195,9.8648
00:00.0,5.1318,0.0342,8.2195,9.7574
30:00.0,5.1326,0.0512,8.2236,9.8952
00:00.0,5.1322,0.0438,8.2277,9.886
30:00.0,5.1322,0.0493,8.228,9.8856
00:00.0,5.1326,0.0474,8.2283,9.8848
30:00.0,5.1322,0.0336,8.2277,9.7258
00:00.0,4.7926,0.0507,8.2288,9.725
30:00.0,4.7914,0.0413,8.2283,9.8301
00:00.0,4.7934,0.0319,8.2332,9.8269
30:00.0,4.7926,0.0531,8.2288,9.6963
00:00.0,4.793,0.0429,8.2283,9.747
30:00.0,4.7934,0.0321,8.2241,9.6403
00:00.0,4.7918,0.0429,8.2189,9.7222
30:00.0,4.7926,0.0368,8.2101,9.616
00:00.0,4.9904,0.0536,8.2063,9.6971
30:00.0,4.9893,0.0429,8.2008,9.5065
00:00.0,4.9904,0.0473,8.1964,9.5121
30:00.0,4.9901,0.0349,8.1931,9.6471
00:00.0,4.9893,0.0327,8.192,9.5944
30:00.0,4.9901,0.0554,8.1865,9.5952
00:00.0,4.9889,0.0326,8.1771,9.5161
30:00.0,4.9901,0.034,8.1769,9.5125
00:00.0,5.0372,0.0464,8.1725,9.3519
30:00.0,5.0356,0.0523,8.1755,9.3511
00:00.0,5.0376,0.0438,8.1758,9.4003
30:00.0,5.0372,0.0461,8.181,9.4286
00:00.0,5.0132,0.0352,8.1807,9.3479
30:00.0,5.014,0.035,8.1763,9.2389
00:00.0,5.014,0.0554,8.1727,9.2405
30:00.0,5.0144,0.0373,8.1722,9.3471
00:00.0,5.1333,0.0348,8.1686,9.3228
30:00.0,5.1337,0.036,8.1304,9.2988
00:00.0,5.1341,0.0378,8.0985,9.3264
30:00.0,5.1341,0.0353,8.0941,9.1658
00:00.0,5.1341,0.0558,8.0983,9.7042
30:00.0,5.1337,0.058,8.104,9.5165
00:00.0,5.1337,0.0387,8.1051,9.5437
30:00.0,5.1333,0.0552,8.0999,9.5417
00:00.0,5.4333,0.059,8.0867,9.4933
30:00.0,5.4337,0.0582,8.0433,9.5037
00:00.0,5.4325,0.0569,8.0199,9.4198
30:00.0,5.4329,0.043,8.0084,9.475
00:00.0,5.4329,0.0394,8.0559,9.3651
30:00.0,5.4329,0.0404,8.1027,9.4682
00:00.0,5.4333,0.0423,8.1301,9.4382
30:00.0,5.4337,0.0442,8.1593,9.4666
00:00.0,5.3383,0.0469,8.1782,9.3591
30:00.0,5.3387,0.0365,8.1956,9.3571
00:00.0,5.3387,0.0595,8.2054,9.4634
30:00.0,5.3387,0.0577,8.206,9.3551
00:00.0,5.3387,0.0377,8.2109,9.2477
30:00.0,5.3391,0.0383,8.2107,9.3012
00:00.0,5.3387,0.0453,8.2115,9.2748
30:00.0,5.3395,0.0379,8.206,9.2772
00:00.0,5.323,0.0392,8.1969,9.3028
30:00.0,5.3234,0.0601,8.187,9.2229
00:00.0,5.3234,0.039,8.184,9.1957
30:00.0,5.3238,0.0487,8.1791,9.0639
00:00.0,5.3234,0.062,8.1788,9.0108
30:00.0,5.3234,0.0405,8.1642,9.04
00:00.0,5.3238,0.0454,8.1639,8.9852
30:00.0,5.3238,0.0634,8.1604,9.014
00:00.0,5.268,0.0435,8.1359,9.0132
30:00.0,5.268,0.0611,8.131,8.9333
00:00.0,5.2676,0.0459,8.1257,8.8806
30:00.0,5.268,0.0477,8.0079,8.8274
00:00.0,5.2676,0.0647,8.0172,8.6661
30:00.0,5.2676,0.048,8.0175,8.6924
00:00.0,5.2676,0.0644,8.0087,8.2666
30:00.0,5.268,0.0601,8.0362,8.3181
00:00.0,5.1416,0.0416,8.0131,8.3189
30:00.0,5.1416,0.0597,8.0373,8.3996
00:00.0,5.14,0.0619,8.073,8.2934
30:00.0,5.1408,0.065,8.1159,8.3992
00:00.0,4.9661,0.0494,8.1172,8.398
30:00.0,4.9669,0.0655,8.1164,8.3449
00:00.0,4.9661,0.0641,8.1161,8.424
30:00.0,4.9657,0.0444,8.131,8.0757
00:00.0,5.4729,0.0645,7.89,8.2359
30:00.0,5.4721,0.051,8.0175,8.1819
00:00.0,5.4737,0.0461,8.0738,8.1847
30:00.0,5.4737,0.0455,8.0939,8.0225
00:00.0,5.4737,0.0611,8.1035,12.0906
30:00.0,5.4737,0.0538,8.1123,12.2492
00:00.0,5.4733,0.0653,8.1134,12.2512
30:00.0,5.4729,0.067,8.1087,12.1761
00:00.0,5.2268,0.0467,8.1095,12.1773
30:00.0,5.2272,0.0532,8.1106,12.2116
00:00.0,5.2264,0.062,8.1098,12.2635
30:00.0,5.2276,0.0555,8.1175,12.234
00:00.0,5.2272,0.0595,8.1318,12.3646
30:00.0,5.2276,0.0544,8.1354,12.4177
00:00.0,5.2272,0.0669,8.1403,12.363
30:00.0,5.2276,0.0562,8.1494,12.2843
00:00.0,5.0054,0.0698,8.1505,12.2835
30:00.0,5.0065,0.0589,8.1552,12.2823
00:00.0,5.0065,0.066,8.1557,12.2559
30:00.0,5.0065,0.0499,8.1549,12.2532
00:00.0,5.0069,0.0677,8.1598,12.3854
30:00.0,5.0073,0.0725,8.1554,12.3594
00:00.0,5.0065,0.0725,8.1505,12.202
30:00.0,5.0073,0.0623,8.14,12.2799
00:00.0,4.9834,0.0635,8.1455,12.1992
30:00.0,4.9834,0.052,8.1351,12.1737
00:00.0,4.9834,0.0508,8.1301,12.093
30:00.0,4.9842,0.0648,8.1211,12.067
